ID,Title,Description
0,"Небольшое исследование","Просто маленькое исследование. Поиск в интернете, обращение к искусственному интеллекту и сбор всей информации в один набор данных."
1,"Исследование целевой аудитории","Кто ваш основной потребитель? Кто будет получать выгоду от вашего сервиса? Кому вы можете доставить ценность?"
2,"Техническое исследование","Как сделать то, что вы хотите сделать? Какие технологии вы будете использовать? Как они могут работать вместе?"
3,"Полномасштабное исследование","Вы направляете все свои ресурсы и усилия на то, чтобы сделать ваш продукт максимально соответствующим требованиям. Это поможет в долгосрочной перспективе... возможно."
4,"Основной прототип","Этот прототип просто покажет, что ваша идея работает. Да, он несовершенен, он содержит ошибки, но он демонстрирует основную концепцию."
5,"Сервисный прототип","Это не технический прототип. У вас есть рабочая страница, и вы должны делать все остальное вручную с каждым заходящим клиентом."
6,"Технический прототип","Теперь вы знаете, как все работает с технической стороны. Пользовательский опыт? Не, не слышали."
7,"MVP","Этот MVP доказывает все и вы можете отправить его выбранной аудитории. Он хорошо спроектирован. Хорошо создан. И на его создание ушло время и усилия."
8,"Только Миссия","Теперь ваша команда действительно понимает, почему вы делаете то, что делаете."
9,"Ценности и стратегия","Ценности помогут вашей команде принимать важные решения. Стратегия будет направлять их касаемо принятия этих самых решений."
10,"Ценности и миссия","Ценности помогут вашей команде принимать важные решения. Миссия даст им цель для принятия этих решений."
11,"Ценности, миссия и стратегия","Вы решили сделалать всё. Теперь ваша команда знает, почему, как и какие решения им следует принимать. Это вызывает уверенность."
12,"Внутреннее тестирование","Вашей команды и друзей достаточно для тестирования вашего продукта. Нет необходимости собирать аудиторию."
13,"Тестирование в средней группе фокуса","Ваша тестовая группа состоит из нескольких десятков человек из вашей аудитории и новых пользователей. Это поможет выявить критические моменты в вашем продукте."
14,"Тестирование в реальных условиях","Это относительно хорошая идея просто выложить ваш продукт онлайн и привлечь пользователей для его использования. Если вы, конечно, готовы быстро исправить все возникающие проблемы."
15,"Каскадное тестирование с группами пользователей","Полномасштабное тестирование с несколькими этапами, каждый из которых больше предыдущего. Вы подготовились и выполнили всё."
16,"Создание веб-сайта","Вам определенно нужен веб-сайт. Что-то еще? Вряд ли."
17,"Настройка социальных медиа","Кому нужен веб-сайт, когда можно сделать все с помощью правильного аккаунта в социальных сетях?"
18,"Веб-сайт и социальные медиа","Часто проще привлекать аудиторию через социальные медиа, но им нужно всё-таки где-то оказаться окончательно."
19,"Полная маркетинговая стратегия","Социальные медиа, веб-сайт, центр сообщества, пресс-релизы и контакты с влиятельными личностями. Вам нужно все это, чтобы достичь успеха."
20,"Один сервер","Простого бэкенда будет более, чем достаточно, ибо зачем беспокоиться и тратить дополнительные деньги на инфраструктуру? Что может пойти не так?"
21,"Облачная инфраструктура","Зачем нам беспокоиться о создании собственного сервера, если мы можем использовать облако? Это немного дороже, но определенно намного удобнее."
22,"Несколько серверов","Мы сами знаем, как сделать это с необходимой надежностью, чтобы обеспечить постоянное обслуживание нашим клиентам."
23,"Команда DevOps с инфраструктурой","Инфраструктура должна быть тщательно спланирована и поддерживаться. Поэтому нам нужно нанять DevOps команду, чтобы помочь нам реализовать этот проект."
24,"Заявка через интерфейс","Просто подготовьте все документы и отправьте их в соответствии с инструкциями на веб-сайте DPG."
25,"Свяжитесь с офисом DPG для помощи","Мы можем сделать это с помощью офиса DPG, если они могут помочь."
26,"Обратитесь только к соответствию ЦУР","Вы проверили, соответствует ли ваш продукт Целям Устойчивого Развития. Если да, то зачем беспокоиться? Всё равно будет работать."
27,"Чеклист показателей DPG","У вас есть чеклист, так что вы пройдете через все 9 показателей и правильно подготовите свое заявление."
28,"Placeholder","Placeholder"
29,"Placeholder","Placeholder"
30,"Placeholder","Placeholder"
31,"Placeholder","Placeholder"
32,"Placeholder","Placeholder"
33,"Placeholder","Placeholder"
34,"Placeholder","Placeholder"
35,"Placeholder","Placeholder"
